马匹名称,出生地 / 馬齡,毛色 / 性別,進口類別,今季獎金*,總獎金*,冠-亞-季-總出賽次數*,最近十個賽馬日出賽場數,現在位置(到達日期),進口日期,練馬師,馬主,現時評分,季初評分,父系,母系,外祖父,同父系馬,自購馬來港前賽事片段
英駿飛駒,紐西蘭 / 5,棗 / 閹,自購新馬,"$70,200","$1,222,650",1-1-0-15,1,香港(12/09/2024),20/03/2023,韋達,陳柏濠、陳子光與陳俊燊,46,50,Tivaci,Posavina,Tiger Hill,最好玩K306K307保羅傳奇神駒馬靈滿多福,
平海之星,澳洲 / 5,棗 / 閹,自購新馬,$0,"$70,200",0-0-0-4,0,從化(22/05/2024),20/02/2023,蔡約翰,曾勝利,46,46,Maurice,Vicky,Encosta de Lago,星之願高份數中華英雄綠色巨人紅衣醒目北海盜,
威武寶寶,紐西蘭 / 5,棕 / 閹,自購新馬,"$269,100","$432,900",0-1-0-6,2,香港(12/10/2024),09/08/2022,賀賢,孫苑琳,46,45,Per Incanto,Satin Queen,Lonhro,有財有勢友瑩仁水晶酒杯天火同心獎星綫路光驊顏色王子完美演繹龍騰飛翔金運來仁仁之寶添開心我為您K219K297幸運芙蓉仁仁有餘心雄雄問鼎巔峰精算暴雪彩虹七色世界籐王陸知質數聯歡兒大浪園田木火同明,
久久為金,澳洲 / 4,棗 / 閹,自購馬,"$23,400","$60,600",0-0-0-11,1,從化(01/11/2024),28/08/2023,賀賢,何駿杰,46,52,Dissident,Miss Delima,Swiss Ace,旋風飛颺遨遊武士,
鑽石寶寶,澳洲 / 7,灰 / 閹,自購新馬,$0,"$2,510,850",3-2-3-27,1,香港(24/10/2024),14/07/2021,姚本輝,簡健光,46,49,Zoustar,Adorabubble,Ferocity,展雄威奔妙星加州動員寰宇豐采利不可擋潮州精神會當凌功名顯赫開心馬健康愉快K250K258K308天下寵兒美神來非凡之星手機錶霸精彩駿將精算激流星際快車攻頂連連有盈幸運龍競駿輝煌,
城中勇士,愛爾蘭 / 4,棗 / 閹,自購新馬,"$157,950","$871,650",0-1-4-11,1,從化(06/11/2024),15/05/2023,沈集成,文本立、文肇輝與文卓立,46,45,Bungle Inthejungle,Ayr Missile,Cadeaux Genereux,飛越星空,
環球英雄,澳洲 / 3,棗 / 閹,自購新馬,"$40,950","$40,950",0-0-0-4,1,從化(06/11/2024),12/03/2024,大衛希斯,馬聖之友團體,46,50,Written Tycoon,Shaaheq,Redoute's Choice,皆益善伊臣佳運財昭易搵金匯昇昇K249嘉應勇士快搏心之靈英雄本色澳嘉輝手錶之星駿馬為伍昇瀧駒好友心得前風,
競駿天下,澳洲 / 6,栗 / 閹,自購新馬,"$940,450","$2,983,450",3-2-6-35,2,香港(24/10/2024),09/11/2021,大衛希斯,競駿會有限公司,46,40,Star Witness,Shalimar Sky,Hurricane Sky,晨曦儷人勇晉當銳光明傳承喜旺駒本領輝煌常常感恩河好運,
澳華威威,澳洲 / 8,棗 / 閹,自購馬,"$216,450","$3,906,650",4-4-3-43,2,從化(11/11/2024),24/08/2020,賀賢,澳華之友團體,45,48,Zoffany,Lavender Bay,Magnus,合金皇常拼常勇,
金獅勝將,澳洲 / 4,棗 / 閹,自購新馬,"$315,900","$789,750",0-2-1-11,2,從化(11/11/2024),26/06/2023,大衛希斯,香港木球會團體,45,43,Akeed Mofeed,High Country,High Chaparral,綻放的心風林火山超悅明駒勁沙塵,
快樂老撾,澳洲 / 4,棗 / 閹,自購新馬,$0,"$64,350",0-0-0-4,0,從化(13/09/2024),28/08/2023,姚本輝,鄭凱敏,45,45,Deep Field,Discreet,Show A Heart,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
機緣醉夢,澳洲 / 5,棕 / 閹,自購馬,$0,"$674,450",0-1-1-15,1,香港(31/07/2023),31/07/2023,鄭俊偉,李偉然與李蕙璇,45,49,Lonhro,Typhoon Tess,Redoute's Choice,帝豪歡星君智盛棒棒糖,
幸運芙蓉,紐西蘭 / 5,棗 / 閹,自購新馬,"$245,700","$397,800",0-1-0-6,0,從化(28/10/2024),27/07/2023,姚本輝,楊廣發,45,44,Per Incanto,Diamonds Forever,Keeper,有財有勢友瑩仁水晶酒杯天火同心獎星綫路光驊顏色王子完美演繹龍騰飛翔金運來仁仁之寶添開心我為您K219K297仁仁有餘心雄雄問鼎巔峰精算暴雪彩虹七色世界籐王威武寶寶陸知質數聯歡兒大浪園田木火同明,
快樂奇兵,澳洲 / 5,栗 / 閹,自購馬,"$134,550","$298,350",0-0-1-12,1,從化(08/11/2024),16/01/2023,賀賢,蔡鎮光,45,49,Olympic Glory,Plain Magic,Magic Albert,沒有,
博學多財,澳洲 / 4,栗 / 閹,自購馬,$0,$0,0-0-0-8,0,從化(12/07/2024),09/10/2023,韋達,郭錦銓與郭炳根,45,45,Exceed And Excel,Devious Rumor,Street Boss,艾莉奧妙玲瓏大將鵰神超旺財得道猴王K237皇帝英明安康萬里神行百變籐王駒同喜發光發亮手機錶勝,
美麗多盈,愛爾蘭 / 5,灰 / 閹,國際拍賣會新馬,$0,"$2,705,850",4-1-3-32,1,香港(10/07/2022),10/07/2022,告東尼,靚得開心團體,45,46,Dark Angel,Layla Jamil,Exceed And Excel,豐盛多彩安泰撼天鐵翼,
超勁寶寶,澳洲 / 6,棗 / 閹,自購馬,"$245,700","$1,762,200",2-0-2-28,2,香港(09/11/2024),22/02/2022,廖康銘,馬加寶,45,48,Cable Bay,Crown Of Caitlin,Distant Music,品德寶寶高感,
超強六十,澳洲 / 4,栗 / 閹,自購新馬,"$134,550","$198,900",0-0-1-6,1,從化(30/10/2024),31/07/2023,方嘉柏,Ranjan Tikam Mahtani,45,46,Written By,Tina Melina,Jet Spur,K283遙遙領先領航財子,
電訊驕陽,澳洲 / 4,棗 / 閹,自購馬,"$40,950","$40,950",0-0-0-9,1,香港(22/01/2024),22/01/2024,徐雨石,張敬石、張敬山、張敬川與張敬峰,45,51,Rubick,Dream Genie,Rip Van Winkle,星河勇士K299光年魅力萬事掂包裝天將球星新幹線韋金主,
勝利神駒,澳洲 / 6,棗 / 閹,自購新馬,$0,"$2,210,400",2-3-0-23,1,香港(12/09/2024),23/03/2022,葉楚航,陳鼎華,45,49,Choisir,Fantastic Flo Jo,Fantastic Light,綠族威,
好瑪威威,澳洲 / 4,栗 / 閹,自購新馬,"$70,200","$70,200",0-0-0-4,1,從化(01/11/2024),19/12/2023,呂健威,何毓麟,44,50,Deep Field,Star Flight,Hard Spun,旺旺昇叻魅影獵飛熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
志在福星,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-4,2,香港(16/09/2024),20/02/2024,韋達,馮嘉健、田曉勃與曾勝利,44,50,Capitalist,Bridle Lane,Street Cry,喆喆友福志滿同行比特星牛精豪情加州本事喜至寶川河首駒烈火駿馬神舟喜月增強日馳千里快樂寶寶風火猴王快活英雄K235同得寶奔月騰雲祥發孝寬極光彗星花果猴王同滿滿亮寶四季醒富心星風雲太陽高高洛河太陽昇金牌活力辣得凌厲威德勇士陽光勇士八駿巨昇猛將兄大數據,
綫路萬里,紐西蘭 / 5,棗 / 閹,國際拍賣會新馬,"$64,350","$476,775",0-1-1-8,1,香港(09/03/2024),01/07/2023,蘇偉賢,張祖兒與張家成,44,50,Tavistock,Triaction,Elusive City,時時稱心領航傳祺歡樂老撾年年友福天時明駒領頭先駒誠好運,
歷險大將,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-4,1,香港(25/01/2024),25/01/2024,徐雨石,余智偉與Dr Jennie Peterson Yu,44,48,Ardrossan,Queen Of Pop,Pins,活力精神彭玥進傲星仁心星無敵星卓越蒨鋒贏得爽,
閃亮老撾,澳洲 / 4,棗／棕 / 閹,自購新馬,"$40,950","$40,950",0-0-0-4,2,香港(21/05/2024),08/01/2024,巫偉傑,鄭家星,44,50,Trapeze Artist,Miss Amajardan,Hinchinbrook,新力飆,
光輝所願,澳洲 / 5,棗 / 閹,自購新馬,"$286,650","$532,350",0-2-0-8,1,從化(01/11/2024),20/03/2023,韋達,關百豪,44,46,Sir Prancealot,Silent Stash,Dash For Cash,沒有,
神駒馬靈,紐西蘭 / 4,棗 / 閹,自購新馬,"$362,700","$386,100",0-0-2-9,2,從化(06/11/2024),21/09/2023,伍鵬志,容潤笙、鄧嘉年、李小羿博士與鄒耀明,44,44,Tivaci,Sorellina,Pins,最好玩K306K307保羅傳奇英駿飛駒滿多福,
勇進齊心,澳洲 / 6,棗 / 閹,自購新馬,"$40,950","$2,607,800",3-2-2-29,1,從化(01/11/2024),05/07/2021,蘇偉賢,加家樂團體,44,45,Headwater,Illinois Magic,Zabeel,十二神將醒嘉輝志在開心熱氣球占士德K295英勇名駒辣得金英雄豪傑,
