馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
堅又威,11/09/24,172,2 105-80,田日 A 1400,好快,84,,113,1199,明,姚,2,5 7 5,1,1 1/4,1.20.34,▲,包裝天將,飛鷹翱翔,1.20.34,6.8
魔術控制,11/09/24,171,2 100-80,田日 A 1000,好地,90,T,127,1083,紹,巫,5,- 3 1,1,短頭,0.56.36,▲,氣勢,我為您,0.56.36,4
超旺財,11/09/24,170,4 60-40,泥日  1650,好泥,50,HT,127,1108,澤,伍,4,5 5 1,1,2,1.38.37,▲,連連歡呼,天威,1.38.37,5.6
富喜來,11/09/24,169,4 60-40,田日 A 2000,好地,47,BT,124,1091,潘,沈,8,7 7 6,1,短頭,2.01.86,▲,慶萬家,盈益善,2.01.86,2.3
手錶之星,11/09/24,168,4 60-40,田日 A 1200,好地,48,H,124,1172,田,巫,10,- 3 3,1,1/2,1.09.54,▲,馬鳳凰,祥龍駒,1.09.54,2.9
嘉應奇兵,11/09/24,167,4 60-40,田日 A 1200,好地,52,,128,1079,明,賀,7,- 3 4,1,短頭,1.09.71,▲,至尊高超,準輝煌,1.09.71,12
閃耀威龍,11/09/24,166,5 40-0,泥日  1650,好泥,37,BT,122,1070,妮,文,2,3 2 1,1,1 1/4,1.38.81,▲,天時明駒,喜悅一生,1.38.81,10
超超比,11/06/24,165,2 100-80,谷夜 A 1650,好地,85,BT,125,1137,潘,沈,9,8 7 7,1,1/2,1.39.47,▲,港林福將,電訊巴打,1.39.47,2.4
勇敢巨星,11/06/24,164,3 80-60,谷夜 A 1200,好地,79,X,134,1108,澤,呂,6,- 4 3,1,頸,1.09.51,▲,超霸勝,同祥和順,1.09.51,8.1
逐步贏,11/06/24,163,3 80-60,谷夜 A 1800,好地,60,CH,116,1168,田,伍,8,9 10 10,1,頸,1.48.84,▲,爭金奪冠,黑桃火箭,1.48.84,10
日馳千里,11/06/24,162,4 60-40,谷夜 A 1200,好地,56,SB-B2,131,1101,禮,姚,4,- 2 1,1,1 1/4,1.09.82,▲,怡昌精神,砂漿金剛,1.09.82,12
美麗緣分,11/06/24,161,4 60-40,谷夜 A 1200,好地,51,PHT,126,1180,禮,羅,10,- 11 8,1,短頭,1.09.66,▲,勇霸龍,精益大師,1.09.66,10
大力猴王,11/06/24,160,4 60-40,谷夜 A 1650,好地,45,SWXT,122,1088,班,韋,5,6 6 3,1,頸,1.40.21,▲,得意佳作,北海盜,1.40.21,8.9
鼓浪飛凡,11/06/24,159,5 40-0,谷夜 A 1200,好地,37,T,130,1079,明,文,6,- 2 2,1,短頭,1.10.22,▲,宏才,友誼喜悅,1.10.22,10
焦點,11/06/24,158,5 40-0,谷夜 A 1200,好地,27,T,120,1061,明,游,9,- 11 10,1,1 1/4,1.09.80,▲,華麗活力,三代同心,1.09.80,9.1
極速之星,11/06/24,157,5 40-0,谷夜 A 1200,好地,29,B,124,1087,田,賀,6,- 8 8,1,短頭,1.09.90,▲,星火燎原,宇宙動力,1.09.90,7.1
遙遙領先,11/03/24,156,3 80-60,田日 C 1400,好快,64,,121,1088,澤,呂,6,4 4 3,1,頭,1.21.76,▲,穿甲戰鷹,同樣美麗,1.21.76,3.6
祝願,11/03/24,155,3 80-60,田日 C 1400,好快,64,,122,989,聲,廖,14,1 2 1,1,1/2,1.21.33,▲,信心星,紫荊歡呼,1.21.33,3.1
輝煌精英,11/03/24,154,3 80-60,田日 C 1200,好快,74,H,132,1218,梁,丁,3,- 1 1,1,2 1/2,1.08.81,▲,愛馬善,展雄威,1.08.81,3.6
安騁,11/03/24,153,G3,田日 C 1800,好快,86,,115,1081,田,蔡,13,4 5 5,1,3/4,1.46.41,▲,當年情,禪勝輝煌,1.46.41,11
昭易搵,11/03/24,152,4 60-40,田日 C 1400,好快,50,B1H1T,125,1186,澤,柏,1,7 3 3,1,頸,1.22.12,▲,一定掂,卓越蒨鋒,1.22.12,10
勇冠群英,11/03/24,151,4 60-40,田日 C 1400,好快,48,BT,124,1069,綸,賢,3,2 1 1,1,短頭,1.21.72,▲,皇仁歡星,但求開心,1.21.72,6.2
糖不甩,11/03/24,150,4 60-40,田日 C 1200,好快,59,H-T,135,1155,梁,巫,5,- 10 8,1,短頭,1.09.47,▲,健康快車,滿好世界,1.09.47,5.1
加州動員,11/03/24,149,4 60-40,田日 C 1600,好快,59,BT,135,1050,艾,東,12,3 2 2,1,1/2,1.34.48,▲,連連歡呼,神駒馬靈,1.34.48,7.3
增強,11/03/24,148,4 60-40,田日 C 1200,好快,59,,135,1207,布,賀,3,- 8 7,1,1/2,1.08.94,▲,包裝福星,好精神,1.08.94,1.6
竣誠駒,11/03/24,147,5 40-0,田日 C 1800,好地,29,H-T,125,1177,綸,東,3,1 1 1,1,1 1/4,1.48.27,▲,永勝金駒,滿載歸來,1.48.27,6.2
鈁糖武士,10/30/24,146,3 80-60,谷夜 C6 1200,好地,71,BT,131,1110,布,柏,3,- 8 8,1,頭,1.09.67,▲,駿步騰飛,開心寶寶,1.09.67,5.3
大千眼界,10/30/24,145,3 80-60,谷夜 C6 1650,好地,62,T,119,1218,度,柏,8,5 6 5,1,頸,1.39.73,▲,太陽勇士,勁好運,1.39.73,8.2
凱旋升,10/30/24,144,4 60-40,谷夜 C6 1200,好地,52,B1,128,1165,潘,羅,5,- 2 2,1,短頭,1.10.45,▲,飛雲,快樂奇兵,1.10.45,4.1
川河首駒,10/30/24,143,4 60-40,谷夜 C6 1650,好地,58,T,127,1131,弘,柏,12,11 11 12,1,頸,1.40.59,▲,香港神駒,智勇名駒,1.40.59,13
勝萬金,10/30/24,142,5 40-0,谷夜 C6 1000,好地,40,HT,135,1044,潘,東,8,- 1 1,1,3/4,0.57.51,▲,花好月盈,天分高,0.57.51,4.4
添喜運,10/30/24,141,4 60-40,谷夜 C6 1200,好地,49,B,124,1231,禮,伍,2,- 1 1,1,頭,1.10.09,▲,加州得力,決一劍,1.10.09,4
贏科超影,10/30/24,140,5 40-0,谷夜 C6 1650,好地,28,BX,123,1025,紹,廖,12,12 12 11,1,1 1/4,1.40.66,▲,雄昇勇士,凱旋七福,1.40.66,10
健康之星,10/30/24,139,4 60-40,谷夜 C6 1650,好地,47,BT,122,1072,艾,東,10,9 7 3,1,短頭,1.40.31,▲,獎星,喜勝威龍,1.40.31,13
合夥奔馳,10/27/24,138,2 100-80,谷日 C3 1200,好地,97,X,135,1112,潘,呂,1,- 2 1,1,鼻,1.09.31,▲,幸運遇見,精算暴雪,1.09.31,4.9
馬力,10/27/24,137,3 80-60,谷日 C3 1000,好地,65,X1T1,122,1107,潘,羅,7,- 5 7,1,頸,0.56.98,▲,雅典武士,連連幸運,0.56.98,5.1
競駿皇者,10/27/24,136,3 80-60,谷日 C3 1200,好地,68,T1,123,1071,聲,游,8,- 10 8,1,1/2,1.09.79,▲,友愛心得,正氣青驅,1.09.79,42
中華威威,10/27/24,135,4 60-40,谷日 C3 1000,好地,45,B,117,1245,鍾,徐,6,- 3 4,1,頸,0.57.42,▲,電路七號,超強六十,0.57.42,16
盈益善,10/27/24,134,4 60-40,谷日 C3 1800,好地,50,XT,125,1105,澤,游,7,6 7 6,1,2,1.49.61,▲,符號,皇仁福星,1.49.61,5.6
你知我得,10/27/24,133,4 60-40,谷日 C3 1200,好地,45,T,123,1152,聲,姚,2,- 2 2,1,頭,1.10.36,▲,智勝攻略,電訊龍駒,1.10.36,2.7
勇威神駒,10/27/24,132,4 60-40,谷日 C3 1200,好地,59,T,135,1145,布,沈,5,- 7 3,1,1 1/4,1.10.12,▲,競駿天下,翠湖烈風,1.10.12,2.9
紅海勁,10/27/24,131,4 60-40,谷日 C3 1650,好地,48,T,123,1130,澤,文,1,5 5 6,1,1 1/4,1.40.38,▲,爆笑,追風,1.40.38,5.4
一支箭,10/27/24,130,3 80-60,谷日 C3 1800,好地,60,B,116,1018,田,賀,7,2 2 2,1,鼻,1.49.06,▲,赤馬雄風,逐步贏,1.49.06,4.9
辣得駕勢,10/27/24,129,5 40-0,谷日 C3 1200,好地,38,B-V1T,133,1108,紹,巫,1,- 1 1,1,頸,1.10.22,▲,飛躍精英,南區旺,1.10.22,10
喜至寶,10/23/24,128,3 80-60,泥夜  1200,好泥,80,T,135,1184,澤,柏,6,- 10 4,1,1 1/4,1.08.82,▲,德心知遇,天行健,1.08.82,4.2
都靈福星,10/23/24,127,3 80-60,泥夜  1650,好泥,76,CT,135,1130,潘,伍,6,7 7 8,1,1 1/2,1.39.80,▲,堅闖,奮鬥心,1.39.80,7.3
機械騎士,10/23/24,126,4 60-40,泥夜  1200,好泥,43,T,118,1060,禮,伍,4,- 2 2,1,2 1/2,1.09.12,▲,郎善好施,澳華威威,1.09.12,6.7
陽光寶貝,10/23/24,125,4 60-40,泥夜  1200,好泥,49,N-BT,125,1178,澤,伍,10,- 2 2,1,1 3/4,1.09.68,▲,有派頭,快馬加鞭,1.09.68,9.1
堅有利,10/23/24,124,4 60-40,泥夜  1650,好泥,42,PT,115,1134,明,沈,1,3 5 5,1,2 3/4,1.39.36,▲,超旺財,年年友福,1.39.36,2.4
天威,10/23/24,123,4 60-40,泥夜  1650,好泥,43,SWT,119,1126,綸,羅,7,6 6 6,1,1/2,1.40.21,▲,歡喜福星,客家之光,1.40.21,15
醒目勇駒,10/23/24,122,5 40-0,泥夜  1200,好泥,36,CXT,132,1126,董,賢,4,- 4 3,1,1/2,1.10.26,▲,世界籐王,逆市奇爸,1.10.26,43
豐盛多彩,10/23/24,121,5 40-0,泥夜  1800,好泥,30,BT,125,1104,森,韋,11,5 4 1,1,1 1/2,1.50.26,▲,勝利同盟,喜悅一生,1.50.26,7.1
堅又威,10/20/24,120,3 80-60,田日 B 1400,好快,76,T-,134,1183,布,姚,8,9 9 9,1,1 3/4,1.21.48,▲,信心星,盈妍威楓,1.21.48,4.8
愛心神駒,10/20/24,119,3 80-60,田日 B 1600,好快,63,B-T-,118,1105,明,廖,2,9 10 11,1,1,1.34.68,▲,快路,久久為尊,1.34.68,13
包裝天將,10/20/24,118,3 80-60,田日 B 1200,好快,74,,129,1119,潘,呂,12,- 2 2,1,1 1/4,1.09.09,▲,河好運,穿甲戰鷹,1.09.09,1.5
嘉應高昇,10/20/24,117,G2,田日 B 1200,好快,119,,128,1130,潘,希,9,- 3 3,1,1 1/2,1.07.57,▲,驕陽明駒,加州星球,1.07.57,1.3
手錶之星,10/20/24,116,4 60-40,田日 B 1200,好快,42,H,117,1157,田,巫,4,- 5 5,1,頸,1.09.18,▲,熾烈神駒,哈羅威,1.09.18,6.3
話你知,10/20/24,115,2 100-80,田日 B 1600,好快,82,T,122,1206,澤,柏,9,10 10 10,1,1 1/2,1.33.76,▲,喜蓮勇感,手機錶霸,1.33.76,3.7
英勇快車,10/20/24,114,4 60-40,田日 B 1200,好快,59,E,135,1223,艾,蔡,12,- 13 10,1,短頭,1.09.09,▲,非凡達,辣得金,1.09.09,20
智智多寶,10/20/24,113,4 60-40,田日 B 1400,好快,59,SWT,135,1081,潘,希,12,9 9 8,1,1 1/4,1.21.95,▲,凱旋幸運,極速贏,1.21.95,3.2
超風速,10/20/24,112,4 60-40,田日 B 1400,好快,42,B,117,1105,紹,廖,12,2 3 3,1,1 1/2,1.21.52,▲,保羅傳奇,相映紅,1.21.52,21
青春力量,10/20/24,111,5 40-0,田日 B 1600,好快,33,BT,128,1019,綸,希,1,4 3 3,1,2 1/2,1.34.82,▲,領航傳祺,巴基之友,1.34.82,5.2
家樂龍駒,10/16/24,110,3 80-60,谷夜 BC 1200,好快,68,HX,125,1052,潘,賀,2,- 9 8,1,短頭,1.09.65,▲,得道猴王,伊臣,1.09.65,3.1
銀進,10/16/24,109,3 80-60,谷夜 BC 1650,好快,61,HT,118,1096,澤,柏,12,12 12 12,1,短頭,1.38.79,▲,本領非凡,爭金奪冠,1.38.79,13
勇敢巨星,10/16/24,108,3 80-60,谷夜 BC 1200,好快,71,X,131,1104,澤,呂,11,- 5 3,1,1 1/2,1.09.43,▲,多利彩駒,添開心,1.09.43,12
椒椒醒,10/16/24,107,4 60-40,谷夜 BC 1200,好快,56,HT,131,1188,度,廖,7,- 7 7,1,1,1.09.24,▲,勇霸龍,美麗緣分,1.09.24,8.7
