馬匹,日期,場,班次,路程,場地,分,配備,磅,排位重,騎,練,檔,走位,名,距離,時間,冠,亚,季,頭馬,賠
紅麗舍,11/13/21,170,4 60-40,田日 A 2000,好地,46,,119,1161,度,文,9,9 8 6,3,1 1/2,2.01.57,活力得勝,威闖,▲,2.01.32,8.2
快步速,11/13/21,169,4 60-40,泥日  1650,好泥,60,H,133,1228,聲,柏,2,2 2 2,3,1 1/4,1.39.36,星夢帝國,皮具之星,▲,1.39.18,11
龍騰飛翔,11/13/21,168,4 60-40,田日 A 1000,好地,54,,129,1227,梁,葉,4,- 2 4,3,1 1/4,0.56.68,八卦,草上飛,▲,0.56.48,8.4
神駿馬車,11/10/21,167,3 80-60,谷夜 BC 1200,好地,66,B1T,122,1084,紹,姚,8,- 12 12,3,1 1/2,1.10.12,讓愛高飛,閃耀榮光,▲,1.09.87,7.7
齊齊友福,11/10/21,166,3 80-60,谷夜 BC 1200,好地,73,SW,127,1146,年,鄭,7,- 7 6,3,3/4,1.09.80,共創繽紛,加州凱歌,▲,1.09.66,4.8
雪戰神駒,11/10/21,165,4 60-40,谷夜 BC 1650,好地,54,B,125,1126,周,高,6,7 7 7,3,1 1/4,1.41.00,赤馬雄風,御風超影,▲,1.40.80,33
知道必勝,11/10/21,164,2 100-80,谷夜 BC 1200,好地,80,T,115,1236,紹,沈,6,- 6 6,3,1,1.09.52,好眼光,嘉應精英,▲,1.09.37,9.9
無可限量,11/10/21,163,4 60-40,谷夜 BC 1200,好地,55,SW1T,132,1237,恩,希,5,- 2 1,3,3/4,1.11.02,騰龍駒,量化歡騰,蟲草之凰,1.10.88,3.2
蟲草之凰,11/10/21,163,4 60-40,谷夜 BC 1200,好地,43,H,120,1090,澤,呂,9,- 11 11,3,3/4,1.11.02,騰龍駒,量化歡騰,▲,1.10.88,17
天池怪俠,11/10/21,162,3 80-60,谷夜 BC 1800,好地,74,,130,1153,年,賢,4,7 7 5,3,3/4,1.49.74,皇寶,凌駕,▲,1.49.62,22
過河勁卒,11/10/21,161,4 60-40,谷夜 BC 1000,好地,58,,132,1095,拉,蔡,1,- 2 3,3,2 1/4,0.57.69,你知我勝,飛騰騅,▲,0.57.31,3.7
功夫茶,11/10/21,160,4 60-40,谷夜 BC 1650,好地,44,B,115,1129,明,賀,3,4 4 3,3,2,1.40.28,開懷大少,忠誠駒,▲,1.39.95,4.1
勁叻仔,11/10/21,159,5 40-0,谷夜 BC 1650,好地,33,B1T,126,1059,班,鄭,7,8 8 9,3,1,1.41.72,綠續爆發,小武士,▲,1.41.57,26
聰明導彈,11/07/21,158,3 80-60,田日 C 1400,好地,64,T,118,1092,班,柏,14,13 13 12,3,1 1/4,1.21.42,樂滿貫,風火戰駒,▲,1.21.23,49
安頌,11/07/21,157,3 80-60,田日 C 1600,好地,69,SWT,124,1142,度,賢,10,10 10 10,3,3/4,1.34.01,喜譽寶,馬爾代夫,▲,1.33.87,9
緊張大師,11/07/21,156,3 80-60,田日 C 1000,好地,80,,133,1240,潘,希,4,- 2 2,3,2 1/2,0.55.67,蟲草成名,日日型,▲,0.55.25,1.1
精神威,11/07/21,155,G3,田日 C 1800,好地,102,B,115,1133,梁,羅,2,1 1 1,3,頸,1.46.07,飛輪閃耀,嘉應之星,▲,1.46.02,8.2
小太陽,11/07/21,154,2 100-80,田日 C 1200,好地,89,SWX,122,1071,潘,沈,5,- 3 3,3,鼻,1.08.59,勝得威風,必長勝,▲,1.08.58,6.8
遨遊之星,11/07/21,153,4 60-40,田日 C 1400,好地,46,VT,116,1249,周,容,14,1 2 1,3,頸,1.21.78,峰爭,觔斗雲,▲,1.21.74,6.8
賽得意,11/07/21,152,4 60-40,田日 C 1200,好地,52,SW1T1,122,1111,明,羅,10,- 2 2,3,1 3/4,1.09.39,錢多多,跑得好,▲,1.09.13,67
幸運精選,11/07/21,151,4 60-40,田日 C 1600,好地,49,B,121,1188,明,容,13,1 1 1,3,1,1.34.45,得勝多,金像非凡,▲,1.34.28,13
威進駒,11/07/21,150,4 60-40,田日 C 1400,好地,56,B,129,1174,馬,呂,3,8 6 5,3,1 3/4,1.22.01,源源動力,有鴻利,▲,1.21.72,23
會展達人,11/07/21,149,5 40-0,田日 C 1600,好地,36,BT,130,1270,恩,葉,9,3 1 1,3,1,1.34.87,堅有料,金剛福星,▲,1.34.71,7.2
終身美麗,11/03/21,148,3 80-60,谷夜 A 1200,好地,68,SWHT,119,1183,明,東,6,- 2 3,3,1 1/2,1.10.10,木火同明,萬眾力得,▲,1.09.87,30
勁駒,11/03/21,147,3 80-60,谷夜 A 1650,好地,65,B,121,1092,年,賀,2,7 7 8,3,3 1/4,1.40.66,超好日子,時時順意,▲,1.40.14,17
鵲橋飛渡,11/03/21,146,4 60-40,谷夜 A 1650,好地,49,HT,122,1102,波,賢,9,1 2 2,3,2 1/2,1.41.10,浪漫組合,牽旺加富,▲,1.40.69,15
玖寶,11/03/21,145,2 100-80,谷夜 A 1800,好地,100,BX,130,1131,周,韋,7,6 6 6,3,1 1/2,1.49.81,超級軍團,喜駿駒,▲,1.49.57,9.4
有運來,11/03/21,144,4 60-40,谷夜 A 1200,好地,53,B,127,1179,潘,沈,11,- 1 1,3,2,1.10.57,創科先鋒,有主意,▲,1.10.25,4.3
勇眼光,11/03/21,143,4 60-40,谷夜 A 1200,好地,50,B,125,1268,班,希,4,- 7 5,3,3/4,1.10.26,銘記知心,發贏喜,▲,1.10.11,3.1
生生福運,11/03/21,142,5 40-0,谷夜 A 2200,好地,31,,125,1003,彭,徐,8,7 6 1,3,1,2.19.15,睡眠攻略,行樂之光,▲,2.18.97,24
獵狐章者,11/03/21,141,5 40-0,谷夜 A 1200,好地,33,BT,127,1011,馬,呂,1,- 4 4,3,頭,1.10.42,雪茄之友,神朗金剛,▲,1.10.39,5.8
明欣賞,10/31/21,140,3 80-60,谷日 C6 1200,好地,76,,129,1063,潘,賀,8,- 11 11,3,1/2,1.09.94,正本歡心,加州一寶,▲,1.09.85,6.5
快搏,10/31/21,139,3 80-60,谷日 C6 1000,好地,70,,121,1067,明,賀,12,- 12 12,3,2 1/2,0.57.03,暖在你心,會長之星,▲,0.56.61,99
喜駿之星,10/31/21,138,4 60-40,谷日 C6 1200,好地,53,T,126,1129,梁,文,11,- 1 1,3,1 3/4,1.10.34,紅衣火旺,生生勝勝,▲,1.10.07,8.7
行雲流水,10/31/21,137,3 80-60,谷日 C6 1650,好地,67,BT,122,1200,潘,沈,4,6 6 5,3,頭,1.40.21,又係熊,皇帝金,▲,1.40.17,2.8
機緣巧俠,10/31/21,136,4 60-40,谷日 C6 1650,好地,58,HT,131,1084,田,文,10,11 11 9,3,1 1/2,1.40.20,紫菜福星,噴火龍,▲,1.39.94,13
水箭龜,10/31/21,135,3 80-60,谷日 C6 2200,好地,67,,124,1065,聲,霍,9,4 3 3,3,1 1/4,2.17.17,神龍駒,高瞻遠矚,▲,2.16.98,8.7
其利斷金,10/31/21,134,4 60-40,谷日 C6 1800,好地,58,V-B2,132,1162,潘,葉,1,5 9 7,3,1 1/2,1.50.91,鑽石福星,紅褲之王,▲,1.50.68,5.6
得力寶駒,10/31/21,133,4 60-40,谷日 C6 1000,好地,58,,129,1114,周,呂,7,- 10 10,3,3/4,0.57.49,風雷電,富高八斗,▲,0.57.36,16
精靈勇士,10/31/21,132,2 100-80,谷日 C6 1000,好地,92,T,128,1155,度,柏,3,- 3 3,3,3,0.56.59,好眼光,艮志騰雲,▲,0.56.13,4.6
尖子,10/31/21,131,5 40-0,谷日 C6 1650,好地,32,N,125,1090,恩,徐,5,7 8 8,3,1 1/4,1.41.18,好友無敵,信心滿滿,▲,1.40.96,9.6
智醒財星,10/27/21,130,3 80-60,泥夜  1200,好泥,68,B-P1H,125,1190,恩,柏,7,- 1 1,3,2 1/4,1.09.77,激賞,悅跑得,▲,1.09.42,6.4
雙天至尊,10/27/21,129,3 80-60,泥夜  1650,好泥,67,BT,117,1196,楠,呂,9,1 1 1,3,4,1.39.47,禪勝寶駒,幸運傳奇,▲,1.38.83,20
紅海福星,10/27/21,128,4 60-40,泥夜  1200,好泥,48,BT,121,1089,度,文,7,- 12 11,3,1/2,1.09.96,閃耀光芒,翡翠劇院,▲,1.09.86,20
兩全其美,10/27/21,127,4 60-40,泥夜  1800,好泥,60,B,126,1188,熙,柏,5,4 4 5,3,3 3/4,1.50.26,天天精彩,活力得勝,▲,1.49.65,16
八心之威,10/27/21,126,4 60-40,泥夜  1200,好泥,46,BT,118,1123,周,韋,5,- 3 2,3,2 3/4,1.09.94,駿皇星,大眾勝利,▲,1.09.52,16
榮冠大道,10/27/21,125,5 40-0,泥夜  1800,好泥,39,V,133,1205,田,葉,12,12 7 2,3,1 3/4,1.50.93,幸運勝駒,驃騎飛,▲,1.50.65,6.7
電訊巴打,10/27/21,124,2 105-80,泥夜  1650,好泥,94,,125,1093,紹,徐,7,3 3 2,3,5 1/2,1.39.49,黃金甲,星運子爵,▲,1.38.63,8.1
東龍陣,10/27/21,123,5 40-0,泥夜  1200,好泥,33,BT,126,1146,田,容,10,- 6 4,3,4,1.10.56,智弗拍檔,日日夠,▲,1.09.91,5
英之星,10/24/21,122,2 100-80,田日 C 1400,好快,83,SW,116,1159,班,姚,1,8 7 5,3,3 3/4,1.21.42,勝利威龍,加州得迅,▲,1.20.83,19
同樂日,10/24/21,121,3 80-60,田日 C 1200,好快,77,BT,133,1094,度,沈,7,- 6 5,3,1/2,1.08.78,心之行,加州星球,▲,1.08.68,35
團結精神,10/24/21,120,3 80-60,田日 C 1200,好快,75,BT,124,1210,熙,賢,11,- 2 2,3,2 3/4,1.09.28,八仟師,中華盛景,▲,1.08.85,43
北極光,10/24/21,119,3 80-60,田日 C 1400,好快,80,H,133,1104,潘,賀,13,5 4 3,3,3/4,1.21.06,合夥雄心,天行健,▲,1.20.94,5.7
勝賢,10/24/21,118,3 80-60,田日 C 1600,好快,79,T,126,1065,熙,柏,11,10 9 8,3,1 1/4,1.33.71,香音,馬爾代夫,▲,1.33.50,15
博愛友威,10/24/21,117,4 60-40,田日 C 1600,好快,59,SWT,132,1100,潘,沈,12,10 11 8,3,1 1/2,1.34.07,美麗精神,確認眼神,▲,1.33.83,8.2
快馬飛馳,10/24/21,116,4 60-40,田日 C 1400,好快,55,HT,127,1150,明,羅,2,4 3 3,3,1,1.21.99,飛天劍,福朵,▲,1.21.80,15
